HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.TranscriptionTexts,Approve,Reject
3OCZWXS7ZO1H38A1D37767BFVGEL5W,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:22:00 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:36:11 PDT 2015,,,3M68NM076I1RBU3LD9J989TYL7QR6O,A21YQXPL0SNNR2,Approved,Mon Oct 12 13:32:34 PDT 2015,Mon Oct 12 13:36:07 PDT 2015,Tue Oct 13 01:36:07 PDT 2015,Mon Oct 12 22:24:16 PDT 2015,,,213,100% (175/175),100% (175/175),100% (175/175),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0746.gif,"Start with any block, if a block is already filled in, keep it filled in
Put a block above the last block
Put a block to the right of the last block
Put a block to the right of the last block
Put a block to the right of the last block
Put a block to the left of the last block
Put a block below the last block
Put a block above the last block
Put a block to the right of the last block
Put a block above the last block
Put a block above the last block
Put a block above the last block
Put a block to the left of the last block",X,
3R16PJFTS3LONJOJEYCWMFSM6KDK4M,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:48 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:58 PDT 2015,,,3TS1AR6UQR8DC4CH5OO7XYFBDUS7F1,A2S62I2ECXDSVP,Approved,Mon Oct 12 12:33:12 PDT 2015,Mon Oct 12 12:36:55 PDT 2015,Tue Oct 13 00:36:55 PDT 2015,2015-10-13 07:40:17 UTC,,,223,100% (8/8),100% (8/8),100% (8/8),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0933.gif,"Place one block on the lower left
place another block directly above it
put another block on the right side of the previous block
repeat the last step until you have a horizontal line made of four blocks
on the right most block, place another block on the bottom side 
refer back to the horizontal line of 4 blocks
place a block on the second left-most block on the top
repeat this until you have added three new blocks in a vertical fashion
Lastly, place a block on the right-most edge of the tallest block",X,
3O2Y2UIUCQOYLZL8YF8FDJPDVANFK6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:41 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:36 PDT 2015,,,36ZN444YTSS47166NIBUBHEYJBLOIQ,A1OQ3KL56KMQSU,Approved,Mon Oct 12 11:38:39 PDT 2015,Mon Oct 12 11:40:39 PDT 2015,Mon Oct 12 23:40:39 PDT 2015,2015-10-13 06:45:17 UTC,,,120,100% (31/31),100% (31/31),100% (31/31),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0404.gif,"Form 2 columns of 4 blocks each, one space apart and lined up.
Place a block in between the two columns, between the bottom most blocks of the columns.
Place another block to the right of the bottom right block.",X,
3O2Y2UIUCQOYLZL8YF8FDJPDVANFK6,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:41 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:36 PDT 2015,,,3WRFBPLXRBI7ZDOB104USMC4AJTN3K,A2O7H7VXLFN6BP,Approved,Mon Oct 12 12:56:44 PDT 2015,Mon Oct 12 12:57:12 PDT 2015,Tue Oct 13 00:57:12 PDT 2015,Mon Oct 12 22:24:13 PDT 2015,,,28,100% (54/54),100% (54/54),100% (54/54),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0404.gif,"Place 1 block somewhere near the middle of the grid.
Place 3 blocks under the starting block.
Find the lowest block.
Place 3 blocks to the right of it.
Find the second rightmost block.
Place 3 blocks above it.",X,
3ULIZ0H1VAZ4D16XKTPOMS21XA951A,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:44 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:44 PDT 2015,,,3IAEQB9FMFEV4ZZMMQ1T1EB7U8DDWQ,AWW4I36TBGE2D,Approved,Mon Oct 12 11:43:45 PDT 2015,Mon Oct 12 11:44:22 PDT 2015,Mon Oct 12 23:44:22 PDT 2015,Mon Oct 12 22:24:34 PDT 2015,,,37,100% (76/76),100% (76/76),100% (76/76),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0450.gif,"Place 5 blocks in a horizontal row
Stack 2 blocks on top of the 1st block in the row
Stack 3 blocks on top of the 4th block in the row",X,
3ULIZ0H1VAZ4D16XKTPOMS21XA951A,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:44 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:44 PDT 2015,,,3J2UYBXQQM63B0JMJW0UODSBCH960N,A2O31IKB0RQXPE,Approved,Mon Oct 12 11:17:08 PDT 2015,Mon Oct 12 11:18:18 PDT 2015,Mon Oct 12 23:18:18 PDT 2015,Mon Oct 12 22:24:33 PDT 2015,,,70,100% (100/100),100% (100/100),100% (100/100),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0450.gif,"For the first row place five blocks horizontally next to each other. 
Place two blocks vertically, directly above the left block of the first row. 
Place three blocks vertically, directly above the second block from the left, of the first row.",X,
3HEA4ZVWVDG31J7GLGR0PIFI9QE55S,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:48 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:57 PDT 2015,,,36ZN444YTSS47166NIBUBHEYJBXIOW,ADJ9I7ZBFYFH7,Approved,Mon Oct 12 13:06:44 PDT 2015,Mon Oct 12 13:07:57 PDT 2015,Tue Oct 13 01:07:57 PDT 2015,Mon Oct 12 22:23:53 PDT 2015,,,73,100% (53/53),100% (53/53),100% (53/53),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0927.gif,"Place a column of five blocks.
Place two blocks to the right of the top block, creating a row of three blocks.
Place two blocks to the right of the second block from the bottom, creating a row of three blocks.
Place one block to the right of the bottom block in the original column.",X,
3HEA4ZVWVDG31J7GLGR0PIFI9QE55S,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:48 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:57 PDT 2015,,,3ZSY5X72NY5H009PD553P9FP67HOR7,A21YQXPL0SNNR2,Approved,Mon Oct 12 13:14:33 PDT 2015,Mon Oct 12 13:15:45 PDT 2015,Tue Oct 13 01:15:45 PDT 2015,Mon Oct 12 22:23:53 PDT 2015,,,72,100% (175/175),100% (175/175),100% (175/175),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0927.gif,"Start with any block, if a block is already filled in, keep it filled in
Put a block to the left of the last block
Put a block to the left of the last block
Put a block below the last block
Put a block below the last block
Put a block below the last block
Put a block below the last block
Put a block to the right of the last block
Put a block above the last block
Put a block to the right of the last block",X,
3W31J70BASQRIN1Y7DIE5D4AYXVCKS,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:31 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:56 PDT 2015,,,30ZX6P7VF9PMV517I2YXG5QVVLOJ21,A1MYLQQL8BBOYT,Approved,Mon Oct 12 12:50:15 PDT 2015,Mon Oct 12 12:51:11 PDT 2015,Tue Oct 13 00:51:11 PDT 2015,Mon Oct 12 22:24:39 PDT 2015,,,56,100% (100/100),100% (100/100),100% (100/100),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0308.gif,"Place a row of five blocks.
Above the first block, place a column of two blocks.
Above the second, third and fourth blocks, place one block each.",X,
3W31J70BASQRIN1Y7DIE5D4AYXVCKS,3496Z8XDHMD731SQ4AEC009514RI2Z,Create instructions for making a scene of blocks,"Given a visual layout of blocks, give a sequence of commands for how you would tell someone to create this layout.","instructions,commands,blocks",$0.33,Mon Oct 12 10:21:31 PDT 2015,5,BatchId:2120678;,10800,43200,Mon Oct 12 13:35:56 PDT 2015,,,3SNLUL3WO5H1A7Y947KG23YFI1BLUM,A3ICWVGCEDRXS0,Approved,Mon Oct 12 12:29:25 PDT 2015,Mon Oct 12 12:31:39 PDT 2015,Tue Oct 13 00:31:39 PDT 2015,2015-10-13 07:35:17 UTC,,,134,100% (26/26),100% (26/26),100% (26/26),http://nlp.stanford.edu/mkayser/images/generate_images.2015_10_12.01/img_0308.gif,"Make a horizontal row of five blocks travelling to the left.
Move two blocks up.
Backtrack one block downward.
Move three blocks to the left.",X,
